Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,All_Star,Year
Miguel Olivo,FLA,28,469,0.262,0.405,0.667,0.286,0.168,0.03,0.262,16,60,3,13.5,0.7,0,2007
Darin Erstad,CHW,33,347,0.31,0.335,0.645,0.291,0.087,0.081,0.127,4,32,7,6.4,0.7,0,2007
Nick Punto,MIN,29,536,0.291,0.271,0.562,0.26,0.061,0.10300000000000001,0.168,1,25,16,18.2,0.7,0,2007
Luis Gonzalez,LAD,39,526,0.359,0.433,0.793,0.348,0.155,0.106,0.106,15,68,6,-16.4,0.6,0,2007
Josh Fields,CHW,24,418,0.308,0.48,0.788,0.338,0.236,0.084,0.299,23,67,1,-6.6,0.6,0,2007
Kevin Millar,BAL,35,562,0.365,0.42,0.785,0.349,0.166,0.135,0.16699999999999998,17,63,1,-17.7,0.6,0,2007
Jonny Gomes,TBD,26,394,0.322,0.46,0.782,0.338,0.216,0.08900000000000001,0.32,17,49,12,-13.3,0.6,0,2007
Mike Fontenot,CHC,27,260,0.336,0.402,0.738,0.325,0.124,0.085,0.165,3,29,5,0.9,0.6,0,2007
Yorvit Torrealba,COL,28,443,0.323,0.376,0.699,0.311,0.121,0.077,0.165,8,47,2,8.0,0.6,0,2007
Jason Tyner,MIN,30,328,0.331,0.355,0.687,0.308,0.069,0.049,0.079,1,22,8,-0.2,0.6,0,2007
Juan Uribe,CHW,28,563,0.284,0.394,0.678,0.294,0.16,0.06,0.19899999999999998,20,68,1,8.3,0.6,0,2007
Brian Schneider,WSN,30,477,0.326,0.336,0.661,0.294,0.1,0.11699999999999999,0.11699999999999999,6,54,0,10.0,0.6,0,2007
Craig Counsell,MIL,36,334,0.323,0.309,0.632,0.287,0.089,0.12300000000000001,0.141,3,24,4,9.5,0.6,0,2007
Ryan Garko,CLE,26,541,0.359,0.483,0.842,0.367,0.194,0.063,0.174,21,61,0,-21.6,0.5,0,2007
Xavier Nady,PIT,28,470,0.33,0.476,0.805,0.347,0.197,0.049,0.215,20,72,3,-11.1,0.5,0,2007
Jason Kubel,MIN,25,466,0.335,0.45,0.785,0.34,0.177,0.08800000000000001,0.17,13,65,5,-12.4,0.5,0,2007
Carlos Delgado,NYM,35,607,0.333,0.448,0.781,0.336,0.19,0.086,0.19399999999999998,24,87,4,-10.8,0.5,0,2007
Marcus Thames,DET,30,284,0.278,0.498,0.776,0.328,0.257,0.046,0.254,18,54,2,-2.2,0.5,0,2007
Jim Edmonds,STL,37,411,0.325,0.403,0.728,0.32,0.151,0.1,0.182,12,53,0,-0.9,0.5,0,2007
Melky Cabrera,NYY,22,612,0.327,0.391,0.718,0.317,0.117,0.07,0.111,8,73,13,-7.2,0.5,0,2007
Mike Redmond,MIN,36,298,0.346,0.353,0.699,0.311,0.059,0.06,0.077,1,38,0,2.2,0.5,0,2007
Alex Cora,BOS,31,232,0.298,0.386,0.684,0.297,0.14,0.03,0.099,3,18,1,4.3,0.5,0,2007
David Ross,CIN,30,348,0.271,0.399,0.67,0.287,0.196,0.086,0.264,17,39,0,12.2,0.5,0,2007
Nook Logan,WSN,27,350,0.304,0.345,0.649,0.288,0.08,0.054000000000000006,0.24600000000000002,0,21,23,4.9,0.5,0,2007
Adam Everett,HOU,30,236,0.281,0.318,0.599,0.269,0.086,0.059000000000000004,0.131,2,15,4,10.9,0.5,0,2007
Billy Butler,KCR,21,360,0.347,0.447,0.794,0.342,0.155,0.075,0.153,8,52,0,-8.0,0.4,0,2007
So Taguchi,STL,37,340,0.35,0.368,0.718,0.324,0.078,0.068,0.094,3,30,7,-2.4,0.4,0,2007
Marco Scutaro,OAK,31,379,0.332,0.361,0.693,0.311,0.101,0.092,0.106,7,41,2,-2.7,0.4,0,2007
Jeff Cirillo,- - -,37,218,0.316,0.368,0.684,0.305,0.119,0.087,0.087,2,27,2,2.4,0.4,0,2007
Julio Lugo,BOS,31,630,0.294,0.349,0.643,0.286,0.112,0.076,0.13,8,73,33,5.7,0.4,0,2007
Sammy Sosa,TEX,38,454,0.311,0.468,0.779,0.332,0.216,0.075,0.247,21,92,0,-9.7,0.3,0,2007
Ross Gload,KCR,31,346,0.318,0.441,0.759,0.324,0.153,0.046,0.113,7,51,2,-2.5,0.3,0,2007
Chris Iannetta,COL,24,234,0.33,0.35,0.681,0.305,0.132,0.124,0.248,4,27,0,4.3,0.3,0,2007
Adam Lind,TOR,23,311,0.278,0.4,0.678,0.295,0.162,0.051,0.209,11,46,1,3.0,0.3,0,2007
Ramon Vazquez,TEX,30,345,0.3,0.373,0.674,0.299,0.143,0.084,0.209,8,28,1,2.0,0.3,0,2007
Emil Brown,KCR,32,397,0.3,0.347,0.647,0.285,0.09,0.06,0.179,6,62,12,4.7,0.3,0,2007
Scott Spiezio,STL,34,257,0.354,0.386,0.74,0.329,0.117,0.105,0.156,4,31,0,-3.9,0.2,0,2007
